Symbol: frxAUDCAD, Display Name: AUD/CAD, Market: Forex
Symbol: frxAUDCHF, Display Name: AUD/CHF, Market: Forex
Symbol: frxAUDJPY, Display Name: AUD/JPY, Market: Forex
Symbol: frxAUDNZD, Display Name: AUD/NZD, Market: Forex
Symbol: frxAUDUSD, Display Name: AUD/USD, Market: Forex
Symbol: frxEURAUD, Display Name: EUR/AUD, Market: Forex
Symbol: frxEURCAD, Display Name: EUR/CAD, Market: Forex
Symbol: frxEURCHF, Display Name: EUR/CHF, Market: Forex
Symbol: frxEURGBP, Display Name: EUR/GBP, Market: Forex
Symbol: frxEURJPY, Display Name: EUR/JPY, Market: Forex
Symbol: frxEURNZD, Display Name: EUR/NZD, Market: Forex
Symbol: frxEURUSD, Display Name: EUR/USD, Market: Forex
Symbol: frxGBPAUD, Display Name: GBP/AUD, Market: Forex
Symbol: frxGBPCAD, Display Name: GBP/CAD, Market: Forex
Symbol: frxGBPCHF, Display Name: GBP/CHF, Market: Forex
Symbol: frxGBPJPY, Display Name: GBP/JPY, Market: Forex
Symbol: frxGBPNOK, Display Name: GBP/NOK, Market: Forex
Symbol: frxGBPNZD, Display Name: GBP/NZD, Market: Forex
Symbol: frxGBPUSD, Display Name: GBP/USD, Market: Forex
Symbol: frxNZDJPY, Display Name: NZD/JPY, Market: Forex
Symbol: frxNZDUSD, Display Name: NZD/USD, Market: Forex
Symbol: frxUSDCAD, Display Name: USD/CAD, Market: Forex
Symbol: frxUSDCHF, Display Name: USD/CHF, Market: Forex
Symbol: frxUSDJPY, Display Name: USD/JPY, Market: Forex
Symbol: frxUSDNOK, Display Name: USD/NOK, Market: Forex
Symbol: frxUSDPLN, Display Name: USD/PLN, Market: Forex
Symbol: frxUSDSEK, Display Name: USD/SEK, Market: Forex
